Existing Kete,Slug,Description,Image ,Sets,
Kete Central Hawke's Bay,Central Hawke's Bay," Gather and share the memories, stories and activities of the people of Central Hawke's Bay people",http://ketechb.peoplesnetworknz.info/image_files/0000/0000/0051/P6270262_large.JPG?1257285460,http://www.digitalnz.org/user_sets/503a96071257577392003a01,
Kete Christchurch,Christchurch," Gather and share the memories, stories and activities of the people of Christchurch and Banks Peninsula",http://ketechristchurch.peoplesnetworknz.info/image_files/0000/0000/0006/2007-01-27-DSCN1382-bannercrop.jpg,http://digitalnz.org/user_sets/503a95d0125757739200110e http://digitalnz.org/user_sets/51c23c90125757a65a000004 http://www.digitalnz.org/user_sets/516286dc125757bd7600000c http://www.digitalnz.org/user_sets/51805f121257575a1f000048 http://digitalnz.org/user_sets/522415effb002c2af7000031,Ref Group
Kete Hauraki Coromandel,Hauraki Coromandel,"Gather and share the memories, stories and activities of the people of Hauraki Coromandel.",http://ketehaurakicoromandel.peoplesnetworknz.info/image_files/0000/0000/3659/Murchbanner.jpg,http://www.digitalnz.org/user_sets/51805f121257575a1f000048   http://www.digitalnz.org/user_sets/503a960f1257577392003ee3  http://www.digitalnz.org/user_sets/50ecb1951257574a910000df  http://www.digitalnz.org/user_sets/504536c88d2a4e3916000001 ,
Kete King Country,King Country," Gather and share the memories, stories and activities of the people of Otorohanga and Waitomo districts. ",http://ketekingcountry.peoplesnetworknz.info/image_files/0000/0000/0376/Farm_Machinery_large.JPG?1401854936,http://www.digitalnz.org/user_sets/50ecb1951257574a910000df,
Kete Masterton,Masterton," Gather and share the memories, stories and activities of the people of Masterton.",http://ketemasterton.peoplesnetworknz.info/image_files/0000/0000/0311/Castlepoint5.jpg ,http://www.digitalnz.org/user_sets/51805f121257575a1f000048 http://www.digitalnz.org/user_sets/50ecb1951257574a910000df,
Kete New Plymouth,New Plymouth," Gather and share the memories, stories and activities of the people of New Plymouth.",http://ketenewplymouth.peoplesnetworknz.info/image_files/0000/0000/0451/stone_header_16-12-08.jpg,http://www.digitalnz.org/user_sets/519d7ec41257576149000014  http://www.digitalnz.org/user_sets/51674cf6fb002c1c5000000f http://www.digitalnz.org/user_sets/51805f121257575a1f000048 http://www.digitalnz.org/user_sets/5092fb76fb002cc94400000a,
Kete Selwyn,Selwyn District," Gather and share the memories, stories and activities of the people of Selwyn District",http://www.selwynlibrary.co.nz/__data/assets/image/0018/16425/keteheader3.jpg ,http://www.digitalnz.org/user_sets/51805f121257575a1f000048 http://www.digitalnz.org/user_sets/50ecb1951257574a910000df,
Kete Tararua,Tararua," Gather and share the memories, stories and activities of the people of Tararua",http://ketetararua.peoplesnetworknz.info/image_files/0000/0000/0086/Dog_on_Beach.jpg ,http://www.digitalnz.org/user_sets/51805f121257575a1f000048 http://www.digitalnz.org/user_sets/50ecb1951257574a910000df,
Kete Tasman,Tasman," Gather and share the memories, stories and activities of the people of Tasman",http://ketetasman.peoplesnetworknz.info/themes/kete_tasman_beta_9.1/images/header-bg.jpg ,http://www.digitalnz.org/user_sets/50ecb1951257574a910000df http://www.digitalnz.org/user_sets/55417514fb002c6f74000016,
Kete Taupō,Taupō," Gather and share the memories, stories and activities of the people of Taupō",http://ketetaupo.peoplesnetworknz.info/image_files/0000/0000/0216/western_bays.jpg ,http://www.digitalnz.org/user_sets/55417514fb002c6f74000016,
Tauranga Memories,Tauranga," Gather and share the memories, stories and activities of the people of Tauranga",http://tauranga.kete.net.nz/image_files/0000/0002/1436/TM-banner-20120922.gif   ,http://www.digitalnz.org/user_sets/50b2a2ba1257574e0a000001 http://www.digitalnz.org/user_sets/51a168671257577eea00001a http://www.digitalnz.org/user_sets/50b2dd0f125757bbc5000003 http://www.digitalnz.org/user_sets/51a1657f1257578300000014 http://www.digitalnz.org/user_sets/503a95e812575773920021a9,Ref Group
Central Otago Memory Bank,Central Otago ," Gather and share the memories, stories and activities of the people of Central Otago",http://memorybank.co.nz/themes/memory_bank_white/images/MB_header.jpg ,http://www.digitalnz.org/user_sets/53af7b06fb002c255d000072   [more to come on this one],Ref Group
Kete Horowhenua,Horowhenua," Gather and share the memories, stories and activities of the people of Horowhenua",http://horowhenua.kete.net.nz/assets/ketebanner-304991dd318c37c8d364c3ea3b937c1e.png ,http://www.digitalnz.org/user_sets/5096b381125757f40b000010  http://www.digitalnz.org/user_sets/50d770d212575711110000d2  http://www.digitalnz.org/user_sets/52ae5cf312575773f6000033 http://www.digitalnz.org/user_sets/543b476112575754a8000005,Ref Group
New Zealand Fountain Pen Society,Fountain Pen NZ,Sharing the New Zealand history of the finest of writing instruments.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Stipula_fountain_pen.jpg/1024px-Stipula_fountain_pen.jpg,http://www.digitalnz.org/user_sets/56162101fb002c6fb0001ade#
The NZ Nurses History Association,Nurse History NZ,Sharing the heritage of the NZ nursing professions ,http://horowhenua.kete.net.nz/image_files/26652/2000.332.0003.jpg,http://www.digitalnz.org/records/31895165 http://www.digitalnz.org/records/35128892 http://www.digitalnz.org/user_sets/5420ce44fb002cfade000002
Orchestral Heritage Aotearoa NZ,NZ Orchestral Heritage,Gathering the history of orchestra in New Zealand,http://www.aucklandcity.govt.nz/dbtw-wpd/HeritageImages/images/photos/h31f/619X.jpg,http://www.digitalnz.org/user_sets/56162c1c8d2a4e2f4400603b
